city,title,gender,rating,district,facilities,original_price,discount_price,full_card_text
Bandung,Kost Dago Pakar 4 Tipe A,Putra,4.9,Cibeunying Kaler,WiFi·Kloset Duduk·Kasur·Akses 24 Jam,Rp1.285.000,Rp1.159.000,Putra | 4.9 | Sisa 3 kamar | Kost Dago Pakar 4 Tipe A | Cibeunying Kaler | WiFi·Kloset Duduk·Kasur·Akses 24 Jam | Diskon 126rb | Rp1.285.000 | Rp1.159.000 | (Bulan pertama)
Bandung,Kost Griya Nararya I Dago Barat Tipe A,Putra,4.9,Coblong,K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur,Rp2.140.000,Rp1.886.200,Putra | 4.9 | Kost Griya Nararya I Dago Barat Tipe A | Coblong | K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur | Diskon 254rb | Rp2.140.000 | Rp1.886.200 | (Bulan pertama)
Bandung,Kost Pondok Natasha UNPAD Tipe A,Campur,4.8,Jatinangor,K. Mandi Dalam·WiFi·Kasur·Akses 24 Jam,Rp835.000,Rp737.800,Campur | 4.8 | Kost Pondok Natasha UNPAD Tipe A | Jatinangor | K. Mandi Dalam·WiFi·Kasur·Akses 24 Jam | Diskon 97rb | Rp835.000 | Rp737.800 | (Bulan pertama)
Bandung,Kost Ernawati BSC Tipe B,Campur,,Coblong,K. Mandi Dalam·WiFi·Kloset Duduk·Kasur,Rp1.564.000,Rp1.379.320,Campur | Kost Ernawati BSC Tipe B | Coblong | K. Mandi Dalam·WiFi·Kloset Duduk·Kasur | Diskon 185rb | Rp1.564.000 | Rp1.379.320 | (Bulan pertama)
Bandung,Kost Ernawati BSC Tipe A,Campur,,Coblong,K. Mandi Dalam·WiFi·Kloset Duduk·Kasur,Rp1.897.000,Rp1.672.360,Campur | Kost Ernawati BSC Tipe A | Coblong | K. Mandi Dalam·WiFi·Kloset Duduk·Kasur | Diskon 225rb | Rp1.897.000 | Rp1.672.360 | (Bulan pertama)
Bandung,Kost Setiabudi Damar Home Tipe B,Putra,4.6,Kecamatan Sukajadi,WiFi·Kloset Duduk·Kasur·Akses 24 Jam,Rp1.075.000,Rp975.000,Putra | 4.6 | Sisa 3 kamar | Kost Setiabudi Damar Home Tipe B | Kecamatan Sukajadi | WiFi·Kloset Duduk·Kasur·Akses 24 Jam | Diskon 100rb | Rp1.075.000 | Rp975.000 | (Bulan pertama)
Bandung,Kost Setiabudi Damar Home Tipe A,Putra,4.4,Kecamatan Sukajadi,WiFi·Kloset Duduk·Kasur·Akses 24 Jam,Rp875.000,Rp795.000,Putra | 4.4 | Sisa 2 kamar | Kost Setiabudi Damar Home Tipe A | Kecamatan Sukajadi | WiFi·Kloset Duduk·Kasur·Akses 24 Jam | Diskon 80rb | Rp875.000 | Rp795.000 | (Bulan pertama)
Bandung,Kost Cana 24B Tipe A,Putri,4.6,Cicendo,K. Mandi Dalam·WiFi·Kloset Duduk·Kasur·Akses 24 Jam,Rp1.475.000,Rp1.344.500,Putri | 4.6 | Sisa 2 kamar | Kost Cana 24B Tipe A | Cicendo | K. Mandi Dalam·WiFi·Kloset Duduk·Kasur·Akses 24 Jam | Diskon 131rb | Rp1.475.000 | Rp1.344.500 | (Bulan pertama)
Bandung,Kost Setiabudi Damar Home Tipe C,Putra,4.8,Kecamatan Sukajadi,WiFi·Kloset Duduk·Kasur·Akses 24 Jam,Rp1.125.000,Rp1.020.000,Putra | 4.8 | Kost Setiabudi Damar Home Tipe C | Kecamatan Sukajadi | WiFi·Kloset Duduk·Kasur·Akses 24 Jam | Diskon 105rb | Rp1.125.000 | Rp1.020.000 | (Bulan pertama)
Bandung,Kost Dago 500ers Tipe A,Putra,4.8,Coblong,K. Mandi Dalam·WiFi·Kloset Duduk·Kasur,Rp1.915.000,Rp1.744.900,Putra | 4.8 | Kost Dago 500ers Tipe A | Coblong | K. Mandi Dalam·WiFi·Kloset Duduk·Kasur | Diskon 170rb | Rp1.915.000 | Rp1.744.900 | (Bulan pertama)
Bandung,Kost Pelangi 13 Kopo Elok Tipe A,Campur,4.8,Babakan Ciparay,K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,Rp1.825.000,Rp1.735.000,Campur | 4.8 | Sisa 2 kamar | Kost Pelangi 13 Kopo Elok Tipe A | Babakan Ciparay | K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam | Diskon 90rb | Rp1.825.000 | Rp1.735.000 | (Bulan pertama)
Bandung,Kost Serenity Dago Tipe A,Campur,4.6,Coblong,K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur,Rp1.625.000,Rp1.481.000,Campur | 4.6 | Sisa 1 kamar | Kost Serenity Dago Tipe A | Coblong | K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur | Diskon 144rb | Rp1.625.000 | Rp1.481.000 | (Bulan pertama)
Bandung,Kost Pondok Artha STPDN Tipe A,Campur,4.8,Jatinangor,K. Mandi Dalam·WiFi·Kloset Duduk·Kasur·Akses 24 Jam,Rp1.475.000,Rp1.402.500,Campur | 4.8 | Sisa 2 kamar | Kost Pondok Artha STPDN Tipe A | Jatinangor | K. Mandi Dalam·WiFi·Kloset Duduk·Kasur·Akses 24 Jam | Diskon 73rb | Rp1.475.000 | Rp1.402.500 | (Bulan pertama)
Bandung,Kost Hauraa Tipe C,Campur,4.8,Jatinangor,K. Mandi Dalam·WiFi·Kloset Duduk·Kasur·Akses 24 Jam,Rp875.000,Rp773.000,Campur | 4.8 | Kost Hauraa Tipe C | Jatinangor | K. Mandi Dalam·WiFi·Kloset Duduk·Kasur·Akses 24 Jam | Diskon 102rb | Rp875.000 | Rp773.000 | (Bulan pertama)
Bandung,Kost Hauraa Tipe A,Campur,4.8,Jatinangor,K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam,Rp1.325.000,Rp1.169.000,Campur | 4.8 | Kost Hauraa Tipe A | Jatinangor | K. Mandi Dalam·WiFi·AC·Kloset Duduk·Kasur·Akses 24 Jam | Diskon 156rb | Rp1.325.000 | Rp1.169.000 | (Bulan pertama)
Bandung,Kost Haur Mekar Unpad Tipe A,Putra,4.3,Coblong,K. Mandi Dalam·WiFi·Kasur,Rp825.000,Rp745.000,Putra | 4.3 | Kost Haur Mekar Unpad Tipe A | Coblong | K. Mandi Dalam·WiFi·Kasur | Diskon 80rb | Rp825.000 | Rp745.000 | (Bulan pertama)
Bandung,Kost Pondok Paskal Tipe A,Campur,4.6,Cicendo,WiFi·Kasur·Akses 24 Jam,Rp763.000,Rp696.580,Campur | 4.6 | Kost Pondok Paskal Tipe A | Cicendo | WiFi·Kasur·Akses 24 Jam | Diskon 66rb | Rp763.000 | Rp696.580 | (Bulan pertama)
Bandung,Kost Sukabirus Residence Tipe A Citereup,Putra,4.6,Kecamatan Dayeuhkolot,K. Mandi Dalam·WiFi·Kloset Duduk·Kasur,Rp1.235.000,Rp1.114.000,Putra | 4.6 | Kost Sukabirus Residence Tipe A Citereup | Kecamatan Dayeuhkolot | K. Mandi Dalam·WiFi·Kloset Duduk·Kasur | Diskon 121rb | Rp1.235.000 | Rp1.114.000 | (Bulan pertama)
Bandung,Kost PUMA Ciwalk Tipe D,Campur,4.9,Coblong,K. Mandi Dalam·WiFi·Kasur·Akses 24 Jam,Rp1.225.000,Rp1.117.000,Campur | 4.9 | Kost PUMA Ciwalk Tipe D | Coblong | K. Mandi Dalam·WiFi·Kasur·Akses 24 Jam | Diskon 108rb | Rp1.225.000 | Rp1.117.000 | (Bulan pertama)
Bandung,Kost Mekar II Padasuka Tipe A,Campur,4.9,Cibeunying Kidul,K. Mandi Dalam·WiFi·Kloset Duduk·Kasur,Rp1.015.000,Rp925.900,Campur | 4.9 | Kost Mekar II Padasuka Tipe A | Cibeunying Kidul | K. Mandi Dalam·WiFi·Kloset Duduk·Kasur | Diskon 89rb | Rp1.015.000 | Rp925.900 | (Bulan pertama)
Bandung,Kost Safana UNPAD Tipe B,Putri,4.8,Jatinangor,K. Mandi Dalam·WiFi·Kloset Duduk·Kasur·Akses 24 Jam,Rp760.000,Rp701.200,Putri | 4.8 | Kost Safana UNPAD Tipe B | Jatinangor | K. Mandi Dalam·WiFi·Kloset Duduk·Kasur·Akses 24 Jam | Diskon 59rb | Rp760.000 | Rp701.200 | (Bulan pertama)
Bandung,Kost Pondok Kaca II Tipe B,Putri,4.8,Jatinangor,WiFi·Kasur,Rp665.000,Rp601.000,Putri | 4.8 | Kost Pondok Kaca II Tipe B | Jatinangor | WiFi·Kasur | Diskon 64rb | Rp665.000 | Rp601.000 | (Bulan pertama)
Bandung,Kost Banuarto Cisitu Lama Tipe A,Campur,4.9,Coblong,WiFi·Kasur·Akses 24 Jam,Rp696.500,Rp615.920,Campur | 4.9 | Kost Banuarto Cisitu Lama Tipe A | Coblong | WiFi·Kasur·Akses 24 Jam | Diskon 81rb | Rp696.500 | Rp615.920 | (Bulan pertama)
Bandung,Kost Pondok Hijau 253 Tipe B Jatinangor,Campur,4.8,Sumedang,K. Mandi Dalam·WiFi·Kasur,Rp625.000,Rp553.000,Campur | 4.8 | Kost Pondok Hijau 253 Tipe B Jatinangor | Sumedang | K. Mandi Dalam·WiFi·Kasur | Diskon 72rb | Rp625.000 | Rp553.000 | (Bulan pertama)
Bandung,Kost PUMA Ciwalk Tipe B,Campur,4.8,Coblong,K. Mandi Dalam·WiFi·Kloset Duduk·Kasur·Akses 24 Jam,Rp1.825.000,Rp1.663.000,Campur | 4.8 | Sisa 2 kamar | Kost PUMA Ciwalk Tipe B | Coblong | K. Mandi Dalam·WiFi·Kloset Duduk·Kasur·Akses 24 Jam | Diskon 162rb | Rp1.825.000 | Rp1.663.000 | (Bulan pertama)
